[generator] Loaded 690 enriched chunks
[generator] Chapter filter ['A', 'B', 'C'] → 48 chunks
[generator] Backend: ollama  Machine: mac  Seed: 42  Workers: 1
[generator] Scheduled 390 tasks → target 300 pairs  (+30 % buffer for filter rate)

[generator] 0 already done, 390 pending

  [172/390] C-27 product_generation ... FILTERED (thinking trace does not cite a paragraph ID)
  [173/390] C-39 applied_reasoning ... FILTERED (thinking trace does not cite a paragraph ID)
  [174/390] C-24 echelon_specific ... FILTERED (thinking trace does not cite a paragraph ID)
  [175/390] C-6 comparative ... FILTERED (thinking trace does not cite a paragraph ID)
  [176/390] C-5 cross_step ... FILTERED (thinking trace does not cite a paragraph ID)
  [177/390] C-34 comparative ... FILTERED (thinking trace does not cite a paragraph ID)
  [178/390] C-38 echelon_specific ... FILTERED (thinking trace does not cite a paragraph ID)
  [179/390] B-1 cross_step ... FILTERED (thinking trace does not cite a paragraph ID)
  [180/390] C-19 echelon_specific ... FILTERED (thinking trace does not cite a paragraph ID)
  [181/390] C-29 echelon_specific ... FILTERED (thinking trace does not cite a paragraph ID)
  [182/390] B-2 multi_domain ... FILTERED (thinking trace does not cite a paragraph ID)
  [183/390] C-26 procedural ... FILTERED (thinking trace does not cite a paragraph ID)
  [184/390] C-35 applied_reasoning ... FILTERED (thinking trace does not cite a paragraph ID)
  [185/390] B-2 echelon_specific ... FILTERED (thinking trace does not cite a paragraph ID)
  [186/390] B-4 echelon_specific ... FILTERED (thinking trace does not cite a paragraph ID)
  [187/390] C-6 procedural ... FILTERED (thinking trace does not cite a paragraph ID)
  [188/390] C-7 comparative ... FILTERED (thinking trace does not cite a paragraph ID)
  [189/390] C-9 comparative ... FILTERED (thinking trace does not cite a paragraph ID)
  [190/390] B-1 echelon_specific ... FILTERED (thinking trace does not cite a paragraph ID)
  [191/390] B-3 echelon_specific ... FILTERED (answer too short (41 words))
  [192/390] C-32 echelon_specific ... FILTERED (thinking trace does not cite a paragraph ID)
  [193/390] C-34 echelon_specific ... FILTERED (thinking trace does not cite a paragraph ID)
  [194/390] C-21 procedural ... FILTERED (thinking trace does not cite a paragraph ID)
  [195/390] C-23 multi_domain ... FILTERED (thinking trace does not cite a paragraph ID)
  [generator] Ollama error: HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=300)
  [196/390] B-1 cross_step ... FAILED (no JSON)
  [197/390] C-8 product_generation ... FILTERED (thinking trace does not cite a paragraph ID)
  [198/390] C-5 echelon_specific ... FILTERED (thinking trace does not cite a paragraph ID)
  [199/390] A-1 cross_step ... FILTERED (thinking trace does not cite a paragraph ID)
  [200/390] C-26 factual ... FILTERED (thinking trace does not cite a paragraph ID)
  [201/390] B-3 multi_domain ... FILTERED (thinking trace does not cite a paragraph ID)
  [202/390] C-22 echelon_specific ... FILTERED (thinking trace does not cite a paragraph ID)
  [203/390] C-23 cross_step ... FILTERED (thinking trace does not cite a paragraph ID)
  [204/390] B-2 echelon_specific ... FILTERED (thinking trace does not cite a paragraph ID)
  [205/390] C-18 procedural ... FILTERED (thinking trace does not cite a paragraph ID)
  [206/390] C-29 procedural ... FILTERED (thinking trace does not cite a paragraph ID)
  [207/390] C-17 procedural ... FILTERED (thinking trace does not cite a paragraph ID)
  [208/390] C-36 product_generation ... FILTERED (thinking trace does not cite a paragraph ID)
  [209/390] C-16 comparative ... FILTERED (thinking trace does not cite a paragraph ID)
  [210/390] C-12 product_generation ... FILTERED (thinking trace does not cite a paragraph ID)
  [211/390] C-24 cross_step ... FILTERED (thinking trace does not cite a paragraph ID)
  [212/390] C-7 comparative ... FILTERED (thinking trace does not cite a paragraph ID)
  [213/390] C-19 product_generation ... FILTERED (thinking trace does not cite a paragraph ID)
  [214/390] C-28 comparative ... FILTERED (thinking trace does not cite a paragraph ID)
  [215/390] C-14 applied_reasoning ... FILTERED (thinking trace does not cite a paragraph ID)
  [216/390] C-8 echelon_specific ... FILTERED (thinking trace does not cite a paragraph ID)
  [217/390] C-32 multi_domain ... FILTERED (thinking trace does not cite a paragraph ID)
  [218/390] C-25 procedural ... FILTERED (thinking trace does not cite a paragraph ID)
  [219/390] C-37 echelon_specific ... FILTERED (thinking trace does not cite a paragraph ID)
  [220/390] B-1 comparative ... FILTERED (thinking trace does not cite a paragraph ID)
  [221/390] C-10 factual ... FILTERED (thinking trace does not cite a paragraph ID)
  [222/390] C-30 multi_domain ... FILTERED (thinking trace does not cite a paragraph ID)
  [223/390] C-31 product_generation ... FILTERED (thinking trace does not cite a paragraph ID)
  [224/390] C-15 comparative ... FILTERED (thinking trace does not cite a paragraph ID)
  [225/390] C-14 cross_step ... FILTERED (thinking trace does not cite a paragraph ID)
  [226/390] C-13 product_generation ... FILTERED (thinking trace does not cite a paragraph ID)
  [227/390] C-39 echelon_specific ... FILTERED (answer too short (45 words))
  [228/390] C-17 factual ... FILTERED (thinking trace does not cite a paragraph ID)
  [229/390] C-33 procedural ... FILTERED (thinking trace does not cite a paragraph ID)
  [230/390] B-2 echelon_specific ... FILTERED (thinking trace does not cite a paragraph ID)
  [231/390] C-10 echelon_specific ... FILTERED (thinking trace does not cite a paragraph ID)
  [232/390] C-3 product_generation ... FILTERED (thinking trace does not cite a paragraph ID)
  [233/390] C-11 multi_domain ... FILTERED (thinking trace does not cite a paragraph ID)
  [234/390] C-12 product_generation ... FILTERED (thinking trace does not cite a paragraph ID)
  [235/390] C-1 procedural ... FILTERED (thinking trace does not cite a paragraph ID)
  [236/390] C-30 procedural ... FILTERED (thinking trace does not cite a paragraph ID)
  [237/390] C-27 echelon_specific ... FILTERED (thinking trace does not cite a paragraph ID)
  [238/390] C-20 echelon_specific ... FILTERED (thinking trace does not cite a paragraph ID)
  [239/390] B-1 multi_domain ... FILTERED (thinking trace does not cite a paragraph ID)
  [240/390] C-9 echelon_specific ... FILTERED (thinking trace does not cite a paragraph ID)
  [241/390] C-31 echelon_specific ... FILTERED (thinking trace does not cite a paragraph ID)
  [242/390] C-15 comparative ... FILTERED (thinking trace does not cite a paragraph ID)
  [243/390] B-1 comparative ... FILTERED (thinking trace does not cite a paragraph ID)
  [244/390] B-4 procedural ... FILTERED (thinking trace does not cite a paragraph ID)
  [245/390] C-11 multi_domain ... FILTERED (thinking trace does not cite a paragraph ID)
  [246/390] C-25 echelon_specific ... FILTERED (thinking trace does not cite a paragraph ID)
  [247/390] C-3 echelon_specific ... FILTERED (thinking trace does not cite a paragraph ID)
  [248/390] C-21 product_generation ... FILTERED (thinking trace does not cite a paragraph ID)
  [249/390] C-4 procedural ... FILTERED (thinking trace does not cite a paragraph ID)
  [generator] Ollama error: HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=300)
  [250/390] B-1 echelon_specific ... FAILED (no JSON)
  [generator] Ollama error: HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=300)
  [251/390] B-1 echelon_specific ... FAILED (no JSON)
  [252/390] C-2 echelon_specific ... FILTERED (thinking trace does not cite a paragraph ID)
  [generator] Ollama error: HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=300)
  [253/390] C-16 multi_domain ... FAILED (no JSON)
  [254/390] C-22 echelon_specific ... FILTERED (thinking trace does not cite a paragraph ID)
  [255/390] C-36 factual ... FILTERED (thinking trace does not cite a paragraph ID)
  [256/390] C-1 cross_step ... FILTERED (thinking trace does not cite a paragraph ID)
  [257/390] C-28 echelon_specific ... FILTERED (thinking trace does not cite a paragraph ID)
  [258/390] C-13 echelon_specific ... FILTERED (thinking trace does not cite a paragraph ID)
  [259/390] C-33 multi_domain ... FILTERED (thinking trace does not cite a paragraph ID)
  [260/390] C-2 echelon_specific ... FILTERED (thinking trace does not cite a paragraph ID)
  [261/390] A-1 multi_domain ... FILTERED (thinking trace does not cite a paragraph ID)
